Port,Port Name,Port RegionId,Indicator,Indicator Name,Indicator unit,Scale,Units,2018,2019,2020,2021,2022
KN.A35,Quelimane,-,12376316,Cargo Traffic (M.Tonnes),million tonnes,units,Million tonnes,321000,323600,326937,330206,
KN.A35,Quelimane,-,12376416,"Cargo Traffic, Annual Growth (Volume)",volume,units,Volume,,,,,-330206
KN.A35,Quelimane,-,12376516,"Cargo Traffic, Annual Growth (%)",%,units,%,,,,,-101
KN.A35,Quelimane,-,12376616,Container Traffic (TEUs),TEUs,units,TEUs,9681,8730,4870,4172,4426
KN.A35,Quelimane,-,12376716,"Container Traffic, Annual Growth (Volume)",volume,units,Volume,,,,,254
KN.A35,Quelimane,-,12376816,"Container Traffic, Annual Growth (%)",%,units,%,,,,,5.22
KN.A36,Richard Bay,-,12376316,Cargo Traffic (M.Tonnes),million tonnes,units,Million tonnes,86623684,86319200,84517409,84533584,77630356
KN.A36,Richard Bay,-,12376416,"Cargo Traffic, Annual Growth (Volume)",volume,units,Volume,,,,,-6903228
KN.A36,Richard Bay,-,12376516,"Cargo Traffic, Annual Growth (%)",%,units,%,,,,,-8.17
KN.A36,Richard Bay,-,12376616,Container Traffic (TEUs),TEUs,units,TEUs,5179,4191,4021,9350,6273
KN.A36,Richard Bay,-,12376716,"Container Traffic, Annual Growth (Volume)",volume,units,Volume,,,,,-3077
KN.A36,Richard Bay,-,12376816,"Container Traffic, Annual Growth (%)",%,units,%,,,,,-76.52
KN.A37,Saldanha,-,12376316,Cargo Traffic (M.Tonnes),million tonnes,units,Million tonnes,35208648,37773192,43687290,46533328,56475625
KN.A37,Saldanha,-,12376416,"Cargo Traffic, Annual Growth (Volume)",volume,units,Volume,,,,,9942297
KN.A37,Saldanha,-,12376516,"Cargo Traffic, Annual Growth (%)",%,units,%,,,,,22.76
SO,Somalia,SO,12376316,Cargo Traffic (M.Tonnes),million tonnes,units,Million tonnes,,,299320,,
SO,Somalia,SO,12376516,"Cargo Traffic, Annual Growth (%)",%,units,%,,,,,0
KN.A39,Victoria,-,12376316,Cargo Traffic (M.Tonnes),million tonnes,units,Million tonnes,755055,755600,763156,770787,778000
